"Rolling_time_month" "q_id_month"
201301 0.5
201302 1
201303 1.2
201304 0.7
201305 0.6
201306 0.8
201307 0.6
201308 0.8
201309 0.5
201310 0.4
201311 0.9
201312 1
201401 0.6
201402 0.7
201403 0.8
201404 0.6
201405 0.2
201406 0.8
201407 0.8
201408 1
201409 0.8
201410 0.4
201411 0.7
201412 0.4
201501 0.5
201502 0.5
201503 0.7
201504 0.7
201505 0.4
201506 0.6
201507 0.6
201508 0.8
201509 0.6
201510 0.3
201511 0.4
201512 0.6
201601 0.7
201602 0.3
201603 0.6
201604 0.5
201605 0.5
201606 0.7
201607 0.4
201608 0.6
201609 0.5
201610 0.5
201611 0.8
201612 0.5
201701 0.5
201702 0.6
201703 0.4
201704 0.4
201705 0.6
201706 0.5
201707 0.5
201708 0.3
201709 0.6
201710 0.4
201711 0.7
201712 0.4
201801 0.8
201802 0.6
201803 0.4
201804 0.6
201805 0.4
201806 0.7
201807 0.6
201808 0.6
201809 0.6
201810 0.6
201811 0.7
201812 0.8
201901 0.7
201902 0.6
201903 0.6
201904 0.4
201905 0.5
201906 0.5
201907 0.3
201908 0.6
201909 0.7
201910 0.7
201911 0.5
201912 0.8
202001 0.7
202002 0.5
202003 0.7
202004 0.8
202005 0.3
202006 0.5
202007 0.6
202008 0.4
202009 0.5
202010 0.5
202011 0.6
202012 0.6
202101 0.6
202102 0.5
202103 0.6
202104 0.3
202105 1
202106 0.6
202107 0.7
202108 0.6
202109 1
202110 0.7
202111 0.7
202112 0.9
202201 0.6
202202 0.6
202203 0.7
202204 0.7
202205 0.8
202206 1
202207 0.7
202208 0.7
202209 0.8
202210 0.8
202211 1.1
202212 0.7
202301 0.6
202302 0.7
202303 0.9
202304 0.6
202305 0.5
202306 0.9
